Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Variant Image,Status
ld-p09-duschgel-250-ml,"Duschgel, 250 ml","<p>p09</p><p><strong>Gut zu wissen:</strong> Sulfatfrei, pH 5,5, mit Aloe vera und pflanzlichem Glyzerin — mild genug für zweimal tägliches Duschen, auch bei empfindlicher Haut.</p>",LA DOCCIA,Kosmetik,"Kosmetik,dusche,KI-Bild",TRUE,Title,Default Title,,,LD-P09,,shopify,25,deny,manual,14,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/09_duschgel-250_a.webp,1,"Duschgel, 250 ml",,active
ld-p09-duschgel-250-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/09_duschgel-250_b.webp,2,"Duschgel, 250 ml",,
ld-p09-duschgel-250-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/e/dept-kosmetik.jpg,3,"Duschgel, 250 ml",,
ld-p10-duschgel-500-ml,"Duschgel, 500 ml","<p>p10</p><p><strong>Gut zu wissen:</strong> Sulfatfrei, pH 5,5, mit Aloe vera und pflanzlichem Glyzerin — mild genug für zweimal tägliches Duschen, auch bei empfindlicher Haut.</p>",LA DOCCIA,Kosmetik,"Kosmetik,dusche,KI-Bild",TRUE,Title,Default Title,,,LD-P10,,shopify,25,deny,manual,22,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/10_duschgel-500_a.webp,1,"Duschgel, 500 ml",,active
ld-p10-duschgel-500-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/10_duschgel-500_detail.jpg,2,"Duschgel, 500 ml",,
ld-p11-duschoel-200-ml,"Duschöl, 200 ml","<p>p11</p><p><strong>Gut zu wissen:</strong> Sulfatfrei, pH 5,5, mit Aloe vera und pflanzlichem Glyzerin — mild genug für zweimal tägliches Duschen, auch bei empfindlicher Haut.</p>",LA DOCCIA,Kosmetik,"Kosmetik,dusche,KI-Bild",TRUE,Title,Default Title,,,LD-P11,,shopify,25,deny,manual,19,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/11_duschoel_a.webp,1,"Duschöl, 200 ml",,active
ld-p11-duschoel-200-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/11_duschoel_b.webp,2,"Duschöl, 200 ml",,
ld-p11-duschoel-200-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/11_duschoel_c.webp,3,"Duschöl, 200 ml",,
ld-p12-duschpeeling-200-ml,"Duschpeeling, 200 ml","<p>p12</p><p><strong>Gut zu wissen:</strong> Sulfatfrei, pH 5,5, mit Aloe vera und pflanzlichem Glyzerin — mild genug für zweimal tägliches Duschen, auch bei empfindlicher Haut.</p>",LA DOCCIA,Kosmetik,"Kosmetik,dusche,KI-Bild",TRUE,Title,Default Title,,,LD-P12,,shopify,25,deny,manual,18,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/12_duschpeeling_a.webp,1,"Duschpeeling, 200 ml",,active
ld-p12-duschpeeling-200-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/12_duschpeeling_b.webp,2,"Duschpeeling, 200 ml",,
ld-p12-duschpeeling-200-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/12_duschpeeling_c.webp,3,"Duschpeeling, 200 ml",,
ld-p13-bodylotion-250-ml,"Bodylotion, 250 ml","<p>p13</p><p><strong>Gut zu wissen:</strong> Mit Sheabutter und Panthenol, ohne Mineralöl. Auf die noch feuchte Haut auftragen — so bindet sie die Feuchtigkeit am besten.</p>",LA DOCCIA,Kosmetik,"Kosmetik,koerper,KI-Bild",TRUE,Title,Default Title,,,LD-P13,,shopify,25,deny,manual,19,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/13_neu_a.jpg,1,"Bodylotion, 250 ml",,active
ld-p14-body-butter-200-ml,"Body Butter, 200 ml","<p>p14</p><p><strong>Gut zu wissen:</strong> Mit Sheabutter und Panthenol, ohne Mineralöl. Im Winter großzügiger dosieren, im Sommer reicht eine dünne Schicht auf der noch feuchten Haut.</p>",LA DOCCIA,Kosmetik,"Kosmetik,koerper,KI-Bild",TRUE,Title,Default Title,,,LD-P14,,shopify,25,deny,manual,24,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/14_body-butter_a.webp,1,"Body Butter, 200 ml",,active
ld-p14-body-butter-200-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/14_body-butter_b.webp,2,"Body Butter, 200 ml",,
ld-p14-body-butter-200-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/14_body-butter_c.webp,3,"Body Butter, 200 ml",,
ld-p15-handcreme-50-ml,"Handcreme, 50 ml","<p>p15</p><p><strong>Gut zu wissen:</strong> Mit Sheabutter und Panthenol, ohne Mineralöl. Im Winter großzügiger dosieren, im Sommer reicht eine dünne Schicht auf der noch feuchten Haut.</p>",LA DOCCIA,Kosmetik,"Kosmetik,koerper,KI-Bild",TRUE,Title,Default Title,,,LD-P15,,shopify,25,deny,manual,12,TRUE,TRUE,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/15_handcreme-50_a.webp,1,"Handcreme, 50 ml",,active
ld-p15-handcreme-50-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/15_handcreme-50_b.webp,2,"Handcreme, 50 ml",,
ld-p15-handcreme-50-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/p/15_handcreme-50_c.webp,3,"Handcreme, 50 ml",,
ld-p15-handcreme-50-ml,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/Hassan-aesthetica/la-doccia/main/assets/e/person-handcreme.jpg,4,"Handcreme, 50 ml",,
